"genus_species","genus","species","subspecies","phylum","class","order","family","group","lifespan","source"
"Sympetrum rubicundulum","Sympetrum","rubicundulum","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Sympetrum semicinctum","Sympetrum","semicinctum","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Sympetrum vicinum","Sympetrum","vicinum","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Tramea lacerata","Tramea","lacerata","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Tramea onusta","Tramea","onusta","","Arthropoda","Insecta","Odonata","Libellulidae","Dragonflies",NA,NA
"Ambystoma tigrinum","Ambystoma","tigrinum","","Chordata","Amphibia","Caudata","Ambystomatidae","Amphibia","9125","Amphibio"
"Ambystoma laterale/jeffersonianum","Ambystoma","laterale/jeffersonianum","",NA,NA,NA,NA,"Amphibia",NA,NA
"Anaxyrus americanus","Anaxyrus","americanus","americanus","Chordata","Amphibia","Anura","Bufonidae","Amphibia","13140","Amphibio"
"Acris crepitans","Acris","crepitans","","Chordata","Amphibia","Anura","Hylidae","Amphibia","1788.5","Amphibio"
"Pseudacris triseriata","Pseudacris","triseriata","","Chordata","Amphibia","Anura","Hylidae","Amphibia","1825","Meyers et al., 2015"
"Dryophytes versicolor","Dryophytes","versicolor","","Chordata","Amphibia","Anura","Hylidae","Amphibia","2825","AmphibiaWeb, 2020"
"Lithobates clamitans","Lithobates","clamitans","melanota","Chordata","Amphibia","Anura","Ranidae","Amphibia","3650","Amphibio"
"Lithobates catesbeianus","Lithobates","catesbeianus","","Chordata","Amphibia","Anura","Ranidae","Amphibia","5840","Amphibio"
"Lithobates pipiens","Lithobates","pipiens","","Chordata","Amphibia","Anura","Ranidae","Amphibia","3285","Amphibio"
"Chelydra serpentina","Chelydra","serpentina","serpentina","Chordata","Reptilia","Testudines","Chelydridae","Reptilia",NA,NA
"Chrysemys picta","Chrysemys","picta","marginata","Chordata","Reptilia","Testudines","Emydidae","Reptilia",NA,NA
"Eumeces fasciatus","Eumeces","fasciatus","","Chordata","Reptilia","Squamata","Scincidae","Reptilia",NA,NA
"Thamnophis sirtalis","Thamnophis","sirtalis","sirtalis","Chordata","Reptilia","Squamata","Colubridae","Reptilia",NA,NA
"Nerodia sipedon","Nerodia","sipedon","sipedon","Chordata","Reptilia","Squamata","Colubridae","Reptilia",NA,NA
"Storeria dekayi","Storeria","dekayi","wrightorum","Chordata","Reptilia","Squamata","Colubridae","Reptilia",NA,NA
"Dictya expansa","Dictya","expansa","","Arthropoda","Insecta","Diptera","Sciomyzidae","Stoneflies",NA,NA
"Dictya pictipes","Dictya","pictipes","","Arthropoda","Insecta","Diptera","Sciomyzidae","Stoneflies",NA,NA
"Dictya sabroskyi","Dictya","sabroskyi","","Arthropoda","Insecta","Diptera","Sciomyzidae","Stoneflies",NA,NA
"Dictya spp.","Dictya","spp.","",NA,NA,NA,NA,"Stoneflies",NA,NA
"Ditaeniella parallela","Ditaeniella","parallela","",NA,NA,NA,NA,"Stoneflies",NA,NA
"Ditaeniella trivitatta","Ditaeniella","trivitatta","",NA,NA,NA,NA,"Stoneflies",NA,NA
"Limnia boscii","Limnia","boscii","","Arthropoda","Insecta","Diptera","Sciomyzidae","Stoneflies",NA,NA
"Pherbellia nana","Pherbellia","nana","nana",NA,NA,NA,NA,"Stoneflies",NA,NA
"Pherbellia seticoxa","Pherbellia","seticoxa","","Arthropoda","Insecta","Diptera","Sciomyzidae","Stoneflies",NA,NA
"Sepedon armipes","Sepedon","armipes","","Arthropoda","Insecta","Diptera","Sciomyzidae","Stoneflies",NA,NA
"Sepedon fuscipennis","Sepedon","fuscipennis","",NA,NA,NA,NA,"Stoneflies",NA,NA
"Tetanocera loewi","Tetanocera","loewi","","Arthropoda","Insecta","Diptera","Sciomyzidae","Stoneflies",NA,NA
"Danaus plexippus","Danaus","plexippus","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Epargyreus clarus","Epargyreus","clarus","","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Butterflies",NA,NA
"Limenitis archippus","Limenitis","archippus","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Limenitis arthemis","Limenitis","arthemis","astyanax","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Celastrina argiolus","Celastrina","argiolus","","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Butterflies",NA,NA
"Celastrina neglecta","Celastrina","neglecta","","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Butterflies",NA,NA
"Cupido comyntas comyntas","Cupido","comyntas comyntas","","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Butterflies",NA,NA
"Lycaena hyllus","Lycaena","hyllus","","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Butterflies",NA,NA
"Satyrium liparops","Satyrium","liparops","","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Butterflies",NA,NA
"Asterocampa celtis","Asterocampa","celtis","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Euphydryas gilletti","Euphydryas","gilletti","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Nymphalis antiopa","Nymphalis","antiopa","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Phyciodes tharos","Phyciodes","tharos","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Polygonia comma","Polygonia","comma","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Polygonia interrogationis","Polygonia","interrogationis","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Speyeria cybele","Speyeria","cybele","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Vanessa atalanta","Vanessa","atalanta","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Papilio cresphontes","Papilio","cresphontes","","Arthropoda","Insecta","Lepidoptera","Papilionidae","Butterflies",NA,NA
"Papilio glaucus","Papilio","glaucus","","Arthropoda","Insecta","Lepidoptera","Papilionidae","Butterflies",NA,NA
"Colias eurytheme","Colias","eurytheme","","Arthropoda","Insecta","Lepidoptera","Pieridae","Butterflies",NA,NA
"Colias philodice","Colias","philodice","","Arthropoda","Insecta","Lepidoptera","Pieridae","Butterflies",NA,NA
"Pieris rapae","Pieris","rapae","","Arthropoda","Insecta","Lepidoptera","Pieridae","Butterflies",NA,NA
"Megisto cymela","Megisto","cymela","","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Butterflies",NA,NA
"Orgyia leucostigma","Orgyia","leucostigma","","Arthropoda","Insecta","Lepidoptera","Erebidae","Moths",NA,NA
"Didelphus virginiana","Didelphus","virginiana","",NA,NA,NA,NA,"Mammals",NA,NA
"Microtus pennsylvanicus","Microtus","pennsylvanicus","","Chordata","Mammalia","Rodentia","Cricetidae","Mammals",NA,NA
"Odocoileus virginicus","Odocoileus","virginicus","",NA,NA,NA,NA,"Mammals",NA,NA
"Scalopus aquaticus","Scalopus","aquaticus","","Chordata","Mammalia","Soricomorpha","Talpidae","Mammals",NA,NA
"Sciurus niger","Sciurus","niger","","Chordata","Mammalia","Rodentia","Sciuridae","Mammals",NA,NA
"Apis mellifera","Apis","mellifera","","Arthropoda","Insecta","Hymenoptera","Apidae","Bees",NA,NA
"Xylocopa virginiana","Xylocopa","virginiana","",NA,NA,NA,NA,"Bees",NA,NA
"Boisea trivittata","Boisea","trivittata","","Arthropoda","Insecta","Hemiptera","Rhopalidae","Insects",NA,NA
"Mycetophila sp.","Mycetophila","sp.","",NA,NA,NA,NA,"Insects",NA,NA
